updateCount,lastprice,volume,bidsize,bid,ask,asksize
1,26.78,303,455,26.77,26.79,1
2,26.78,303,455,26.77,26.79,1
3,26.77,361,518,26.77,26.78,1
4,26.79,374,42,26.78,26.79,44
5,26.79,413,163,26.77,26.8,2
6,26.78,512,174,26.77,26.79,28
7,26.78,588,386,26.77,26.78,10
8,26.78,588,385,26.77,26.79,13
9,26.78,589,7,26.78,26.79,13
10,26.78,645,84,26.78,26.8,18
11,26.78,645,85,26.78,26.8,18
12,26.78,650,99,26.78,26.79,1
13,26.79,731,110,26.78,26.79,30
14,26.79,732,86,26.78,26.8,50
15,26.8,769,86,26.78,26.8,17
16,26.8,789,23,26.79,26.81,72
17,26.8,789,25,26.79,26.81,71
18,26.8,795,19,26.8,26.81,67
19,26.81,825,68,26.79,26.81,57
20,26.81,825,68,26.79,26.81,57
21,26.8,830,47,26.8,26.81,56
22,26.81,833,41,26.8,26.81,53
23,26.8,834,40,26.8,26.81,53
24,26.8,838,38,26.8,26.81,81
25,26.81,840,38,26.8,26.81,80
26,26.81,840,38,26.8,26.81,80
27,26.78,1224,326,26.77,26.78,10
28,26.79,1238,321,26.77,26.79,26
29,26.79,1247,311,26.77,26.79,18
30,26.79,1252,24,26.78,26.79,14
31,26.79,1276,67,26.78,26.79,10
32,26.79,1276,67,26.78,26.79,10
33,26.78,1310,72,26.78,26.8,39
34,26.8,1311,82,26.79,26.8,38
35,26.8,1311,83,26.79,26.8,38
36,26.79,1312,82,26.79,26.8,38
37,26.79,1319,100,26.79,26.8,33
38,26.8,1320,99,26.79,26.8,32
39,26.8,1323,104,26.79,26.8,34
40,26.79,1346,93,26.79,26.8,32
41,26.79,1346,93,26.79,26.8,32
42,26.79,1346,94,26.79,26.8,33
43,26.79,1346,94,26.79,26.8,33
44,26.79,1346,94,26.79,26.8,34
45,26.79,1346,97,26.79,26.8,34
46,26.8,1357,88,26.79,26.8,38
47,26.8,1357,88,26.79,26.8,38
48,26.8,1368,86,26.79,26.8,29
49,26.8,1376,210,26.79,26.8,26
50,26.8,1376,210,26.79,26.8,26
51,26.8,1382,210,26.79,26.8,48
52,26.79,1399,228,26.79,26.8,35
53,26.79,1399,228,26.79,26.8,35
54,26.79,1411,226,26.79,26.8,4
55,26.8,1417,30,26.8,26.81,158
56,26.8,1422,25,26.8,26.81,158
57,26.8,1447,253,26.79,26.8,1
58,26.8,1500,228,26.79,26.8,19
59,26.79,1560,168,26.79,26.8,19
60,26.8,1561,171,26.79,26.8,18
61,26.8,1567,141,26.79,26.8,108
62,26.8,1567,141,26.79,26.8,108
63,26.8,1593,121,26.79,26.8,133
64,26.79,1699,8,26.79,26.8,133
65,26.79,1707,161,26.78,26.8,133
66,26.8,1715,130,26.78,26.8,101
67,26.78,1727,123,26.78,26.79,121
68,26.78,1727,120,26.78,26.79,121
69,26.79,1728,173,26.78,26.79,122
70,26.79,1728,173,26.78,26.79,122
71,26.79,1728,173,26.78,26.79,122
72,26.8,1839,142,26.79,26.8,124
73,26.79,1850,133,26.79,26.8,104
74,26.79,1850,133,26.79,26.8,104
75,26.79,1850,133,26.79,26.8,27
76,26.79,1916,72,26.79,26.8,23
77,26.79,1916,72,26.79,26.8,23
78,26.8,1929,39,26.79,26.8,52
79,26.79,1932,38,26.79,26.8,155
80,26.79,1932,38,26.79,26.8,155
81,26.79,1932,38,26.79,26.8,159
82,26.79,1938,305,26.78,26.8,165
83,26.79,1938,305,26.78,26.8,165
84,26.79,1945,228,26.78,26.79,8
85,26.79,1945,228,26.78,26.79,8
86,26.79,1945,228,26.78,26.79,61
87,26.78,1951,225,26.78,26.79,61
88,26.79,1991,225,26.78,26.79,22
89,26.79,1991,225,26.78,26.79,22
90,26.8,2016,79,26.79,26.8,169
91,26.8,2022,100,26.79,26.8,203
92,26.79,2024,98,26.79,26.8,203
93,26.79,2032,44,26.79,26.8,198
94,26.79,2033,7,26.79,26.8,194
95,26.79,2033,7,26.79,26.8,194
96,26.79,2101,186,26.78,26.8,450
97,26.79,2112,184,26.78,26.79,116
98,26.79,2112,184,26.78,26.79,116
99,26.79,2112,184,26.78,26.79,417
100,26.79,2112,184,26.78,26.79,417
101,26.79,2112,190,26.78,26.79,424
102,26.79,2123,194,26.78,26.79,476
103,26.79,2124,198,26.78,26.79,478
104,26.79,2124,198,26.78,26.79,478
105,26.79,2126,197,26.78,26.79,477
106,26.78,2276,68,26.78,26.79,457
107,26.79,2276,68,26.78,26.79,457
108,26.79,2298,47,26.78,26.79,453
109,26.78,2347,442,26.77,26.78,12
110,26.78,2347,442,26.77,26.78,12
111,26.78,2353,442,26.77,26.78,26
112,26.78,2353,442,26.77,26.78,26
113,26.78,2353,452,26.77,26.78,29
114,26.77,2355,450,26.77,26.78,94
115,26.78,2356,449,26.77,26.78,95
116,26.78,2356,449,26.77,26.78,95
117,26.78,2356,449,26.77,26.78,95
118,26.78,2368,439,26.77,26.78,93
119,26.77,2368,439,26.77,26.78,93
120,26.78,2368,440,26.77,26.78,94
121,26.78,2368,440,26.77,26.78,94
122,26.78,2368,445,26.77,26.78,94
123,26.78,2369,445,26.77,26.78,95
124,26.78,2373,445,26.77,26.78,91
125,26.78,2373,445,26.77,26.78,91
126,26.78,2378,445,26.77,26.78,116
127,26.78,2384,445,26.77,26.78,110
128,26.78,2384,445,26.77,26.78,110
129,26.78,2386,446,26.77,26.78,109
130,26.78,2386,446,26.77,26.78,109
131,26.78,2386,446,26.77,26.78,114
132,26.78,2398,436,26.77,26.78,112
133,26.78,2423,414,26.77,26.78,103
134,26.78,2423,414,26.77,26.78,103
135,26.77,2443,395,26.77,26.78,134
